iso3,name,population,median_age_approx,under_20_share,age_20_64_share,age_65_plus_share,age_80_plus_share,age_100_plus_share,age_120_plus_share,age_150_plus_share
IRL,Ireland,3446538.346661208,52.05538955152342,0.18566951198723777,0.4453096070777183,0.36902088093504404,0.22072287597437362,0.06262286780627116,0.006872400689196311,0.00015183365564751846
IRN,Iran (Islamic Republic of),47471809.75068931,51.21998701724516,0.18885054188612238,0.4525507866821323,0.35859867143174534,0.20925800332475022,0.05450172034971023,0.004909937376179947,7.814645617918864e-05
IRQ,Iraq,74494214.2170025,47.05665917625368,0.20641017523532454,0.4904611068112182,0.3031287179534572,0.15212058965760972,0.0232787238265468,0.0005749117461536235,1.0028653035050427e-06
ISL,Iceland,212453.0801509099,51.888361328179805,0.18629007329657601,0.44675777542548156,0.36695215127794245,0.21842416834598977,0.06092495756262184,0.0064323857818744746,0.00013430828998011542
ISR,Israel,16759060.539887173,53.38762144655878,0.1807679652540347,0.4341956529594877,0.38503638178647753,0.23858344384488311,0.07626803363397361,0.010936970665061498,0.0003752917571369883
ITA,Italy,20678607.483859334,52.472527404012396,0.18411705384214622,0.44176027432343756,0.3741226718344161,0.2264010472942753,0.06686508069694684,0.00804845002388425,0.00020913615575158192
JAM,Jamaica,507701.34392380866,46.72613939068556,0.20795665115048445,0.49353181724839884,0.29851153160111676,0.147737678079988,0.021559523829763918,0.00047353187263406924,6.765968676416514e-07
JEY,Jersey,67672.43801717465,51.954794793203156,0.1860416924831468,0.4461874135994156,0.36777089391743756,0.21932139123156208,0.06158196347613774,0.006598630220754739,0.00014026118183821474
JOR,Jordan,16038436.986356815,51.23889787329396,0.18878102590174212,0.4523743734960588,0.35884460060219914,0.20953375381593706,0.05469804648559634,0.004950775850182235,7.887596841730435e-05
JPN,Japan,48839870.93889362,54.1752453190621,0.17801638951412352,0.42775437833017943,0.3942292321556971,0.2491064709610604,0.08511079018675234,0.014199824002667878,0.0006438857127999534
KAZ,Kazakhstan,25650533.398819894,49.44309099201407,0.19604903633670911,0.4681691565068697,0.3357818071564212,0.1851158546085651,0.03961158873697949,0.0022422565021093153,1.6080370434665024e-05
KEN,Kenya,74944620.81304783,44.114494387117965,0.22071685942477162,0.5189357880926947,0.26034735248253366,0.11302255712593105,0.010369548561278486,6.893644559723609e-05,1.2321386578736876e-08
KGZ,Kyrgyzstan,8368174.489594415,47.76578929194628,0.2032529946930277,0.483625486088141,0.31312151921883136,0.16204137284471062,0.027730712318779844,0.0009087648081159533,2.5760127590883216e-06
KHM,Cambodia,15505312.004783146,47.195740654492305,0.20579213182794823,0.48908577338087916,0.30512209479117264,0.1541022474935128,0.024150001308251203,0.0006339036515145068,1.2268322643984032e-06
KIR,Kiribati,157515.37271637708,43.63813076882055,0.22317316132406778,0.5237324020775261,0.2530944365984062,0.10681191763971383,0.008844065800630928,4.449871129316701e-05,4.815629289337728e-09
KNA,Saint Kitts and Nevis,17336.64848338434,47.723707048464426,0.2034420151268551,0.48401959391077465,0.3125383909623701,0.1614648337167029,0.02747513875335371,0.0008883174599360127,2.4662775199909035e-06
KOR,Republic of Korea,10896675.565422706,53.0533142451052,0.18201078635185752,0.436856593033857,0.38113262061428554,0.23430952025115814,0.07308854539202768,0.009988824863800112,0.0003260342812460132
KWT,Kuwait,8407663.630348418,53.744517116179885,0.17947496734030002,0.4313387347964726,0.3891862978632274,0.24324034125606522,0.0800992152492254,0.01234779458101288,0.0004995642806276633
LAO,Lao People's Democratic Republic,5765064.304028906,46.704076743573374,0.2080392176746425,0.49381032095031635,0.2981504613750412,0.14733682138186957,0.021353396412416376,0.00045994900019042257,6.343680821540675e-07
LBN,Lebanon,4725068.759714916,50.325193705012474,0.19240179430595652,0.4604018177978496,0.3471963878961938,0.19701491492247866,0.04656036431932877,0.00333566938274477,3.584322010611273e-05
LBR,Liberia,9051647.283648824,42.47276455470406,0.2294044108123549,0.5355196562528434,0.2350759329348017,0.09205917454952242,0.005828151004383185,1.3949402818378632e-05,3.8835637359018436e-10
LBY,Libya,6487378.888607543,49.90848279355672,0.1940915114825894,0.464126114525388,0.34178237399202266,0.19127850121428638,0.04306167925072424,0.002747666307432025,2.4298929689017617e-05
LCA,Saint Lucia,58955.74227566177,47.968810134491974,0.20234419247881372,0.4817676984515764,0.31588810906960985,0.16476211275851646,0.028979720461049865,0.0010155987240576228,3.2319601584538405e-06
LIE,Liechtenstein,29086.372125729114,54.105502981816564,0.1782270348545079,0.4283804699927318,0.3933924951527603,0.2480674052730493,0.08399767128110053,0.013672112819209452,0.0005900713566332675
LKA,Sri Lanka,13322468.36762971,50.98138858599329,0.18981012921125157,0.4545563572719862,0.35563351351676215,0.20611916092010746,0.0524835211785116,0.004485953429532292,6.486827439642332e-05
LSO,Lesotho,2209959.399990084,43.67635303622289,0.22300436321291495,0.5232251509033374,0.2537704858837475,0.10746507183984878,0.009042212187256583,4.790591748752761e-05,5.762401261777913e-09
